Date,Open,High,Low,Close,Adj Close,Volume
2019/02/04,1119.01,1142.34,1117.51,1141.42,1141.42,3859255
2019/02/01,1122.29,1134.4,1114.25,1118.62,1118.62,1649017
2019/01/31,1112.24,1127.67,1105.25,1125.89,1125.89,2002173
2019/01/30,1077.36,1099.52,1076.64,1097.99,1097.99,1451369
2019/01/29,1081.04,1084.73,1066.02,1070.06,1070.06,978913
2019/01/28,1090.07,1093.365,1074.61,1079.86,1079.86,1465078
2019/01/25,1094.23,1103.36,1091.8012,1101.51,1101.51,1155725
2019/01/24,1082.51,1088,1070.02,1084,1084,1455698
2019/01/23,1086.86,1092.95,1067.57,1084.41,1084.41,1252204
2019/01/22,1096,1098.97,1070.89,1078.63,1078.63,1975801
2019/01/18,1108.59,1118,1099.2834,1107.3,1107.3,2215050
2019/01/17,1087.99,1100.7,1083.255,1099.12,1099.12,1235995
2019/01/16,1090,1102.36,1088.01,1089.51,1089.51,1909194
2019/01/15,1058.01,1088.27,1054.44,1086.51,1086.51,1845666
2019/01/14,1053.34,1058.45,1048.55,1051.51,1051.51,1416199
2019/01/11,1069.9,1073.37,1056.43,1064.47,1064.47,1538460
2019/01/10,1074.94,1079.81,1064.68,1078.83,1078.83,1328481
2019/01/09,1087.99,1091.64,1074.37,1081.65,1081.65,1348040
2019/01/08,1086,1093.35,1068.3486,1085.37,1085.37,1759640
2019/01/07,1080.97,1082.7,1062.64,1075.92,1075.92,2371538
2019/01/04,1042.56,1080,1036.86,1078.07,1078.07,2301042
2019/01/03,1050.67,1066.26,1022.37,1025.47,1025.47,2094929
2019/01/02,1027.2,1060.79,1025.275,1054.68,1054.68,1582524
2018/12/31,1057.83,1062.99,1033.0387,1044.96,1044.96,1654209
2018/12/28,1059.5,1064.23,1042,1046.68,1046.68,1718018
2018/12/27,1026.2,1053.34,1007,1052.9,1052.9,2265984
2018/12/26,997.99,1048.45,992.645,1047.85,1047.85,2306710
2018/12/24,984.32,1012.1195,977.6599,984.67,984.67,1817955
2018/12/21,1032.04,1037.67,981.19,991.25,991.25,5225681
2018/12/20,1026,1047.44,1007.8648,1023.58,1023.58,2654268
2018/12/19,1047.29,1075.71,1019.43,1035.46,1035.46,2908506
2018/12/18,1034,1059.69,1030.48,1043.41,1043.41,2179044
2018/12/17,1047.01,1062.38,1016.63,1025.65,1025.65,2477016
2018/12/14,1060.02,1071.72,1049.37,1051.71,1051.71,1817086
2018/12/13,1075.67,1088.42,1064.994,1073.54,1073.54,1249235
2018/12/12,1077.08,1091.7325,1071.97,1073.73,1073.73,1447393
2018/12/11,1066.94,1070.4,1050.1,1061.65,1061.65,1691864
2018/12/10,1042.94,1059.6,1033,1053.18,1053.18,1681872
2018/12/07,1072.23,1085.03,1039.37,1046.58,1046.58,2127531
2018/12/06,1045,1079.42,1042.48,1078.08,1078.08,2364581
2018/12/04,1112.99,1114.24,1060.775,1062.47,1062.47,2271452
2018/12/03,1132.16,1135,1111.73,1116.36,1116.36,2871472
2018/11/30,1095.63,1109.65,1083.18,1109.65,1109.65,2978017
2018/11/29,1083.53,1100.15,1082,1094.58,1094.58,1548754
2018/11/28,1057.46,1092.8575,1042.95,1091.79,1091.79,2297670
2018/11/27,1051.34,1066.76,1045.5,1052.28,1052.28,1642116
2018/11/26,1044,1057,1039.77,1055.94,1055.94,1574870
2018/11/23,1033.5,1043,1028.52,1030.1,1030.1,708859
2018/11/21,1045.31,1054.705,1039.455,1043.43,1043.43,1483772
2018/11/20,1007.29,1037.35,1002.21,1030.45,1030.45,2722040
2018/11/19,1063.39,1068,1022.8692,1027.42,1027.42,2278839
2018/11/16,1065.23,1072.44,1054.9,1068.27,1068.27,1762765
2018/11/15,1051.46,1078.87,1041.2925,1071.05,1071.05,2075606
2018/11/14,1060,1065.79,1041.11,1054.58,1054.58,1730473
2018/11/13,1054.81,1066.665,1040.4,1047.97,1047.97,1285845
2018/11/12,1073.13,1074.1,1040.35,1049.36,1049.36,1690483
2018/11/09,1084.02,1088.35,1064.26,1077.02,1077.02,1742807
2018/11/08,1107.3,1108.22,1084.36,1094.63,1094.63,1684536
2018/11/07,1083.49,1109.9299,1080.59,1108.24,1108.24,2167553
2018/11/06,1055.02,1079.82,1053.61,1069.57,1069.57,1396959
2018/11/05,1072.53,1073.35,1034,1055.73,1055.73,2266980
